,Phase,SetSize,FBand,Cluster,Participant,Power
102,id,1,delta,All,F19M1,1.4612413107744018
103,id,1,delta,All,F26F2,6.161270209429948
104,id,1,delta,All,F5M1,1.2911317250622536
105,id,1,delta,All,M22F2,3.5859146691410855
106,id,1,delta,All,M8M1,1.2441801389416287
107,id,1,delta,All,M8M2,4.542315767535373
108,id,1,delta,All,S20M1,3.6785540348691956
109,id,1,delta,All,S21F1,3.274040311091549
110,id,1,delta,All,T11F1,1.5822571185138123
111,id,1,delta,All,T16F2,2.106098669941887
112,id,1,delta,All,T18F2,1.4294023577773394
113,id,1,delta,All,T18M1,2.802220795835019
114,id,1,delta,All,T23F1,1.1202921826280587
115,id,1,delta,All,T23F2,1.474485365144384
116,id,1,delta,All,T25F1,9.26479582637938
117,id,1,delta,All,T9F2,5.674656027777468
118,id,1,delta,All,W10F2,2.245138773719965
119,id,1,delta,All,W17M2,2.5458692023300733
120,id,1,theta,Frontal,F12F2,2.5974537647556866
121,id,1,theta,Frontal,F12M1,18.965421104028955
122,id,1,theta,Frontal,F19M1,1.7713134151936942
123,id,1,theta,Frontal,F26F2,5.3210119916063485
124,id,1,theta,Frontal,F5M1,0.8851466130258189
125,id,1,theta,Frontal,M22F2,3.6546053288545033
126,id,1,theta,Frontal,M8M1,1.4438210625726793
127,id,1,theta,Frontal,M8M2,2.910443486390665
128,id,1,theta,Frontal,S20M1,2.5919155775439107
129,id,1,theta,Frontal,S21F1,3.2577532844061907
130,id,1,theta,Frontal,T11F1,0.91625940929932
131,id,1,theta,Frontal,T16F2,1.6969112110645044
132,id,1,theta,Frontal,T18F2,0.45774162613887864
133,id,1,theta,Frontal,T18M1,3.6542342848652045
134,id,1,theta,Frontal,T23F1,0.8096159695443947
135,id,1,theta,Frontal,T23F2,0.8193343275503889
136,id,1,theta,Frontal,T25F1,8.094132886561148
137,id,1,theta,Frontal,T9F2,12.722945668684595
138,id,1,theta,Frontal,W10F2,1.5238399138314722
139,id,1,theta,Frontal,W17M2,2.7847759324769177
140,id,1,theta,Central,F12F2,1.5560400125918767
141,id,1,theta,Central,F12M1,3.645848529556336
142,id,1,theta,Central,F19M1,1.8279704170642173
143,id,1,theta,Central,F26F2,2.1350530061874036
144,id,1,theta,Central,F5M1,0.9122471947381292
145,id,1,theta,Central,M22F2,1.1287806851981395
146,id,1,theta,Central,M8M1,1.371556670954992
147,id,1,theta,Central,M8M2,1.0761988711720356
148,id,1,theta,Central,S20M1,1.6914061846076158
149,id,1,theta,Central,S21F1,2.03580731139977
150,id,1,theta,Central,T11F1,1.174319371335884
151,id,1,theta,Central,T16F2,1.625253506648386
152,id,1,theta,Central,T18F2,0.819587165385964
153,id,1,theta,Central,T18M1,2.05698020662075
154,id,1,theta,Central,T23F1,0.7710011248161572
155,id,1,theta,Central,T23F2,0.6801750830553114
156,id,1,theta,Central,T25F1,2.136139051966629
157,id,1,theta,Central,T9F2,2.2436298105539194
158,id,1,theta,Central,W10F2,0.9345246626637982
159,id,1,theta,Central,W17M2,1.7796175732951338
160,id,1,theta,Temporal,F12F2,1.4762641070368403
161,id,1,theta,Temporal,F12M1,4.59899854283051
162,id,1,theta,Temporal,F19M1,1.636923281931646
163,id,1,theta,Temporal,F26F2,1.9647921965661062
164,id,1,theta,Temporal,F5M1,0.9245643171834426
165,id,1,theta,Temporal,M22F2,1.5099160483379486
166,id,1,theta,Temporal,M8M1,1.3619142649785987
167,id,1,theta,Temporal,M8M2,1.2775370609220438
168,id,1,theta,Temporal,S20M1,1.5775639440843792
169,id,1,theta,Temporal,S21F1,1.9606903476983137
170,id,1,theta,Temporal,T11F1,1.2291823660256063
171,id,1,theta,Temporal,T16F2,1.7942372346204185
172,id,1,theta,Temporal,T18F2,1.0258382235736874
173,id,1,theta,Temporal,T18M1,1.9573165706111342
174,id,1,theta,Temporal,T23F1,0.7803253991408383
175,id,1,theta,Temporal,T23F2,0.7525324833854806
176,id,1,theta,Temporal,T25F1,2.2023434018492165
177,id,1,theta,Temporal,T9F2,2.2425603004676455
178,id,1,theta,Temporal,W10F2,1.0944477598803448
179,id,1,theta,Temporal,W17M2,1.955231535478353
180,id,1,theta,Parietal,F12F2,1.795832648598686
181,id,1,theta,Parietal,F12M1,2.4447697051924293
182,id,1,theta,Parietal,F19M1,1.901587307620736
183,id,1,theta,Parietal,F26F2,2.293320475594883
184,id,1,theta,Parietal,F5M1,0.9365649052032627
185,id,1,theta,Parietal,M22F2,1.0398895594864948
186,id,1,theta,Parietal,M8M1,1.4458267189908591
187,id,1,theta,Parietal,M8M2,1.1095343271445672
188,id,1,theta,Parietal,S20M1,1.6474659685541242
189,id,1,theta,Parietal,S21F1,2.030973023054162
190,id,1,theta,Parietal,T11F1,1.3565898086130737
191,id,1,theta,Parietal,T16F2,1.7116482491241447
192,id,1,theta,Parietal,T18F2,1.222245983218892
193,id,1,theta,Parietal,T18M1,1.8260136010446755
194,id,1,theta,Parietal,T23F1,1.0775119441170686
195,id,1,theta,Parietal,T23F2,0.8546900688383746
196,id,1,theta,Parietal,T25F1,1.597589827098571
197,id,1,theta,Parietal,T9F2,1.8474748278327413
198,id,1,theta,Parietal,W10F2,0.9012071319585365
199,id,1,theta,Parietal,W17M2,1.680252033179401
200,id,1,theta,Occipital,F12F2,1.8028289997272513
201,id,1,theta,Occipital,F12M1,1.7841178112785954
202,id,1,theta,Occipital,F19M1,1.742667389980939
203,id,1,theta,Occipital,F26F2,2.2853947911382226
204,id,1,theta,Occipital,F5M1,0.9553652348559646
205,id,1,theta,Occipital,M22F2,0.9382035950242148
206,id,1,theta,Occipital,M8M1,1.5299788635649954
207,id,1,theta,Occipital,M8M2,1.229031578852112
208,id,1,theta,Occipital,S20M1,1.6711611783203282
209,id,1,theta,Occipital,S21F1,2.1439489950913484
210,id,1,theta,Occipital,T11F1,1.5488912266799835
211,id,1,theta,Occipital,T16F2,1.7103507573689378
212,id,1,theta,Occipital,T18F2,1.4218291848644697
