,Phase,SetSize,FBand,Cluster,Participant,Power
92,id,1,delta,Occipital,T18F2,2.6598156057873438e-08
93,id,1,delta,Occipital,T18M1,6.837444631202441e-09
94,id,1,delta,Occipital,T23F1,3.749282246390189e-08
95,id,1,delta,Occipital,T23F2,3.208667859619684e-08
96,id,1,delta,Occipital,T25F1,1.544168502423172e-08
97,id,1,delta,Occipital,T9F2,2.7441362729604403e-08
98,id,1,delta,Occipital,W10F2,2.536201789638456e-08
99,id,1,delta,Occipital,W17M2,1.3872468099403067e-08
100,id,1,delta,All,F12F2,5.5724996655943535e-08
101,id,1,delta,All,F12M1,4.150537018959358e-07
102,id,1,delta,All,F19M1,1.0672848373416265e-08
103,id,1,delta,All,F26F2,1.294455514671869e-07
104,id,1,delta,All,F5M1,1.002667736537189e-05
105,id,1,delta,All,M22F2,9.204942836696993e-08
106,id,1,delta,All,M8M1,5.704031330200481e-08
107,id,1,delta,All,M8M2,2.163417280090945e-07
108,id,1,delta,All,S20M1,3.130428859753438e-08
109,id,1,delta,All,S21F1,4.69102597195391e-08
110,id,1,delta,All,T11F1,3.518337479888322e-08
111,id,1,delta,All,T16F2,2.886730363736616e-08
112,id,1,delta,All,T18F2,7.300200150042393e-08
113,id,1,delta,All,T18M1,2.459201090458634e-08
114,id,1,delta,All,T23F1,1.1420148637226988e-07
115,id,1,delta,All,T23F2,1.4661462526703323e-07
116,id,1,delta,All,T25F1,7.58627946144487e-08
117,id,1,delta,All,T9F2,1.0718316361938254e-07
118,id,1,delta,All,W10F2,6.744677720300109e-08
119,id,1,delta,All,W17M2,3.310949999518751e-08
120,id,1,theta,Frontal,F12F2,2.1803586916273955e-08
121,id,1,theta,Frontal,F12M1,1.0625316887131282e-07
122,id,1,theta,Frontal,F19M1,3.813990226671007e-09
123,id,1,theta,Frontal,F26F2,5.9034361901982863e-08
124,id,1,theta,Frontal,F5M1,1.9312009704130956e-06
125,id,1,theta,Frontal,M22F2,4.7303102687638e-08
126,id,1,theta,Frontal,M8M1,1.6381776793299194e-08
127,id,1,theta,Frontal,M8M2,7.915627438204894e-08
128,id,1,theta,Frontal,S20M1,1.342509302548405e-08
129,id,1,theta,Frontal,S21F1,2.1347571152725777e-08
130,id,1,theta,Frontal,T11F1,1.669291595525689e-08
131,id,1,theta,Frontal,T16F2,1.4706201257775068e-08
132,id,1,theta,Frontal,T18F2,3.445261761580872e-08
133,id,1,theta,Frontal,T18M1,1.3081714342210654e-08
134,id,1,theta,Frontal,T23F1,3.215789708394146e-08
135,id,1,theta,Frontal,T23F2,8.883414758456939e-08
136,id,1,theta,Frontal,T25F1,4.206548526115e-08
137,id,1,theta,Frontal,T9F2,6.66718564416715e-08
138,id,1,theta,Frontal,W10F2,3.1742000403648026e-08
139,id,1,theta,Frontal,W17M2,1.6982278831637133e-08
140,id,1,theta,Central,F12F2,7.534434905166427e-09
141,id,1,theta,Central,F12M1,1.6969469628396874e-08
142,id,1,theta,Central,F19M1,3.6419459417812163e-09
143,id,1,theta,Central,F26F2,1.1686753295788732e-08
144,id,1,theta,Central,F5M1,1.9360926173559836e-06
145,id,1,theta,Central,M22F2,1.1009184076308985e-08
146,id,1,theta,Central,M8M1,4.37425117922553e-09
147,id,1,theta,Central,M8M2,1.368878049984802e-08
148,id,1,theta,Central,S20M1,5.459793151744578e-09
149,id,1,theta,Central,S21F1,8.601577367673324e-09
150,id,1,theta,Central,T11F1,1.0774527065294114e-08
151,id,1,theta,Central,T16F2,1.1393856565033279e-08
152,id,1,theta,Central,T18F2,8.531703978400637e-09
153,id,1,theta,Central,T18M1,4.08590311775438e-09
154,id,1,theta,Central,T23F1,9.111465027874847e-09
155,id,1,theta,Central,T23F2,1.798378409160279e-08
156,id,1,theta,Central,T25F1,1.239899182479017e-08
157,id,1,theta,Central,T9F2,1.0751422110668531e-08
158,id,1,theta,Central,W10F2,2.4466512428366442e-08
159,id,1,theta,Central,W17M2,8.428288681801721e-09
160,id,1,theta,Temporal,F12F2,3.6240947422754358e-09
161,id,1,theta,Temporal,F12M1,1.2799473213708771e-08
162,id,1,theta,Temporal,F19M1,1.9601614483542928e-09
163,id,1,theta,Temporal,F26F2,8.167706536021848e-09
164,id,1,theta,Temporal,F5M1,1.9374336874598463e-06
165,id,1,theta,Temporal,M22F2,6.809612346922636e-09
166,id,1,theta,Temporal,M8M1,2.399496757138575e-09
167,id,1,theta,Temporal,M8M2,9.120928386815176e-09
168,id,1,theta,Temporal,S20M1,3.0908953861452797e-09
169,id,1,theta,Temporal,S21F1,4.679440838028147e-09
170,id,1,theta,Temporal,T11F1,5.9594287806853815e-09
171,id,1,theta,Temporal,T16F2,9.337881814273075e-09
172,id,1,theta,Temporal,T18F2,5.6481339131380386e-09
173,id,1,theta,Temporal,T18M1,3.1516200292321376e-09
174,id,1,theta,Temporal,T23F1,6.99944204827511e-09
175,id,1,theta,Temporal,T23F2,8.639118637920616e-09
176,id,1,theta,Temporal,T25F1,8.364812224924177e-09
177,id,1,theta,Temporal,T9F2,6.55275588358241e-09
178,id,1,theta,Temporal,W10F2,1.3292911860466574e-08
179,id,1,theta,Temporal,W17M2,4.805213040455013e-09
180,id,1,theta,Parietal,F12F2,5.32920029134529e-09
181,id,1,theta,Parietal,F12M1,6.77608929674087e-09
182,id,1,theta,Parietal,F19M1,2.938051327549606e-09
183,id,1,theta,Parietal,F26F2,7.3436908437871616e-09
184,id,1,theta,Parietal,F5M1,1.9416361480525626e-06
185,id,1,theta,Parietal,M22F2,6.978209136017213e-09
186,id,1,theta,Parietal,M8M1,2.636461736224675e-09
187,id,1,theta,Parietal,M8M2,7.012631778033236e-09
188,id,1,theta,Parietal,S20M1,3.2152480082522617e-09
189,id,1,theta,Parietal,S21F1,6.003564284247107e-09
190,id,1,theta,Parietal,T11F1,7.498216946261298e-09
191,id,1,theta,Parietal,T16F2,8.855627553317297e-09
192,id,1,theta,Parietal,T18F2,5.720356446586267e-09
193,id,1,theta,Parietal,T18M1,2.3953205774542264e-09
194,id,1,theta,Parietal,T23F1,5.531957421098304e-09
195,id,1,theta,Parietal,T23F2,1.106444654848155e-08
196,id,1,theta,Parietal,T25F1,6.5324001449393276e-09
197,id,1,theta,Parietal,T9F2,6.120818249906759e-09
198,id,1,theta,Parietal,W10F2,2.2646264869379977e-08
199,id,1,theta,Parietal,W17M2,5.850038188098032e-09
200,id,1,theta,Occipital,F12F2,5.1336177768380375e-09
201,id,1,theta,Occipital,F12M1,4.1953568826986185e-09
202,id,1,theta,Occipital,F19M1,2.226768064362513e-09
203,id,1,theta,Occipital,F26F2,5.4633926189729475e-09
204,id,1,theta,Occipital,F5M1,1.940621590955886e-06
205,id,1,theta,Occipital,M22F2,5.599639716661251e-09
206,id,1,theta,Occipital,M8M1,2.768502204277669e-09
207,id,1,theta,Occipital,M8M2,5.2780061284022196e-09
208,id,1,theta,Occipital,S20M1,2.5892350110609617e-09
209,id,1,theta,Occipital,S21F1,5.852878417055526e-09
210,id,1,theta,Occipital,T11F1,7.1466634994412474e-09
211,id,1,theta,Occipital,T16F2,8.380427974539555e-09
212,id,1,theta,Occipital,T18F2,5.8075589436711285e-09
213,id,1,theta,Occipital,T18M1,1.9556468031086632e-09
214,id,1,theta,Occipital,T23F1,5.082017299611477e-09
215,id,1,theta,Occipital,T23F2,1.0476691750306874e-08
216,id,1,theta,Occipital,T25F1,5.034751439632876e-09
217,id,1,theta,Occipital,T9F2,5.167370276571872e-09
218,id,1,theta,Occipital,W10F2,2.1199490107600174e-08
219,id,1,theta,Occipital,W17M2,4.173442527709685e-09
220,id,1,theta,All,F12F2,1.0512827570994989e-08
221,id,1,theta,All,F12M1,3.8074951590487356e-08
222,id,1,theta,All,F19M1,3.2079422713375767e-09
223,id,1,theta,All,F26F2,2.309097093012595e-08
224,id,1,theta,All,F5M1,1.936535021257758e-06
225,id,1,theta,All,M22F2,1.9332363077968086e-08
226,id,1,theta,All,M8M1,6.984008452999843e-09
227,id,1,theta,All,M8M2,2.9313929204834355e-08
228,id,1,theta,All,S20M1,6.673761474023823e-09
229,id,1,theta,All,S21F1,1.0965384509374429e-08
230,id,1,theta,All,T11F1,1.086101007415681e-08
231,id,1,theta,All,T16F2,1.1188446534850606e-08
232,id,1,theta,All,T18F2,1.4653531834359706e-08
233,id,1,theta,All,T18M1,5.869306720756424e-09
234,id,1,theta,All,T23F1,1.4190796538788243e-08
235,id,1,theta,All,T23F2,3.4703322875828156e-08
236,id,1,theta,All,T25F1,1.8174606092274246e-08
237,id,1,theta,All,T9F2,2.46163609924363e-08
238,id,1,theta,All,W10F2,2.4653643078542734e-08
239,id,1,theta,All,W17M2,9.475682193772412e-09
240,id,1,alpha,Frontal,F12F2,5.48813675248383e-09
241,id,1,alpha,Frontal,F12M1,1.0995284756527697e-08
242,id,1,alpha,Frontal,F19M1,2.2852963355239936e-09
243,id,1,alpha,Frontal,F26F2,7.634087631879993e-09
244,id,1,alpha,Frontal,F5M1,5.555185716219055e-07
245,id,1,alpha,Frontal,M22F2,8.99230541976381e-09
246,id,1,alpha,Frontal,M8M1,2.309686522683503e-09
247,id,1,alpha,Frontal,M8M2,8.663353292859644e-09
248,id,1,alpha,Frontal,S20M1,3.785120814909613e-09
249,id,1,alpha,Frontal,S21F1,4.151244414925295e-09
250,id,1,alpha,Frontal,T11F1,5.803489195351205e-09
251,id,1,alpha,Frontal,T16F2,5.243076316118849e-09
252,id,1,alpha,Frontal,T18F2,4.909405794549202e-09
253,id,1,alpha,Frontal,T18M1,2.3908377872876837e-09
254,id,1,alpha,Frontal,T23F1,3.7504949810375084e-09
255,id,1,alpha,Frontal,T23F2,1.0612998893363282e-08
256,id,1,alpha,Frontal,T25F1,1.0957597232932851e-08
257,id,1,alpha,Frontal,T9F2,6.627679064703932e-09
258,id,1,alpha,Frontal,W10F2,1.8273618035648036e-08
259,id,1,alpha,Frontal,W17M2,5.203661338294371e-09
260,id,1,alpha,Central,F12F2,3.601699124743534e-09
261,id,1,alpha,Central,F12M1,6.923357113873375e-09
262,id,1,alpha,Central,F19M1,3.3186697072358476e-09
263,id,1,alpha,Central,F26F2,3.1387624677931475e-09
264,id,1,alpha,Central,F5M1,5.483507488795532e-07
265,id,1,alpha,Central,M22F2,6.067642071545146e-09
266,id,1,alpha,Central,M8M1,1.086425985581973e-09
267,id,1,alpha,Central,M8M2,5.366978296918692e-09
268,id,1,alpha,Central,S20M1,2.7403346781212436e-09
269,id,1,alpha,Central,S21F1,2.1864518746157066e-09
270,id,1,alpha,Central,T11F1,5.580098347782067e-09
271,id,1,alpha,Central,T16F2,4.561877280906832e-09
272,id,1,alpha,Central,T18F2,3.0765273563918292e-09
273,id,1,alpha,Central,T18M1,1.371073223153943e-09
274,id,1,alpha,Central,T23F1,2.8216930555601833e-09
275,id,1,alpha,Central,T23F2,7.988195529556546e-09
276,id,1,alpha,Central,T25F1,1.175759688572147e-08
277,id,1,alpha,Central,T9F2,3.2424517452254356e-09
278,id,1,alpha,Central,W10F2,2.1906837567358894e-08
279,id,1,alpha,Central,W17M2,4.739889548983313e-09
280,id,1,alpha,Temporal,F12F2,2.0575030485023177e-09
281,id,1,alpha,Temporal,F12M1,3.492537973682268e-09
282,id,1,alpha,Temporal,F19M1,1.619857358943625e-09
283,id,1,alpha,Temporal,F26F2,2.8690939566382597e-09
284,id,1,alpha,Temporal,F5M1,5.618298561822568e-07
285,id,1,alpha,Temporal,M22F2,3.448457264871031e-09
286,id,1,alpha,Temporal,M8M1,6.741907855010085e-10
287,id,1,alpha,Temporal,M8M2,2.921562323892322e-09
288,id,1,alpha,Temporal,S20M1,2.4142114196850624e-09
289,id,1,alpha,Temporal,S21F1,1.4031540715483344e-09
290,id,1,alpha,Temporal,T11F1,4.16978743349736e-09
291,id,1,alpha,Temporal,T16F2,4.609348599708805e-09
292,id,1,alpha,Temporal,T18F2,1.7562461073231106e-09
293,id,1,alpha,Temporal,T18M1,1.2493788335614928e-09
294,id,1,alpha,Temporal,T23F1,1.9204700789483482e-09
295,id,1,alpha,Temporal,T23F2,3.5941709743095144e-09
296,id,1,alpha,Temporal,T25F1,7.809209497822271e-09
297,id,1,alpha,Temporal,T9F2,2.1872962398000877e-09
298,id,1,alpha,Temporal,W10F2,1.2720860102986632e-08
299,id,1,alpha,Temporal,W17M2,3.6983019834992115e-09
300,id,1,alpha,Parietal,F12F2,3.020971191063809e-09
301,id,1,alpha,Parietal,F12M1,4.416620801362986e-09
302,id,1,alpha,Parietal,F19M1,2.552968979879717e-09
303,id,1,alpha,Parietal,F26F2,2.7576119274044335e-09
304,id,1,alpha,Parietal,F5M1,5.443238808819677e-07
305,id,1,alpha,Parietal,M22F2,6.316562682480119e-09
306,id,1,alpha,Parietal,M8M1,9.007201273014403e-10
307,id,1,alpha,Parietal,M8M2,4.639407389407111e-09
308,id,1,alpha,Parietal,S20M1,2.15264380959161e-09
309,id,1,alpha,Parietal,S21F1,1.780857883334154e-09
310,id,1,alpha,Parietal,T11F1,4.370402712616413e-09
311,id,1,alpha,Parietal,T16F2,3.894872943099759e-09
312,id,1,alpha,Parietal,T18F2,2.5926040557416885e-09
313,id,1,alpha,Parietal,T18M1,1.117959587231926e-09
314,id,1,alpha,Parietal,T23F1,2.673574313668666e-09
315,id,1,alpha,Parietal,T23F2,9.099450317738644e-09
316,id,1,alpha,Parietal,T25F1,9.626854386503575e-09
317,id,1,alpha,Parietal,T9F2,2.7191844296974626e-09
318,id,1,alpha,Parietal,W10F2,2.1304946451523106e-08
319,id,1,alpha,Parietal,W17M2,4.049108400547333e-09
320,id,1,alpha,Occipital,F12F2,3.271779925032423e-09
321,id,1,alpha,Occipital,F12M1,3.898200089452459e-09
322,id,1,alpha,Occipital,F19M1,1.7945928831776266e-09
323,id,1,alpha,Occipital,F26F2,2.4046666057374404e-09
324,id,1,alpha,Occipital,F5M1,5.393866618451271e-07
325,id,1,alpha,Occipital,M22F2,8.371551931686353e-09
326,id,1,alpha,Occipital,M8M1,9.86487108736975e-10
327,id,1,alpha,Occipital,M8M2,4.509671519205464e-09
328,id,1,alpha,Occipital,S20M1,1.9438596350063268e-09
329,id,1,alpha,Occipital,S21F1,1.9581408914271468e-09
330,id,1,alpha,Occipital,T11F1,3.895211702236685e-09
331,id,1,alpha,Occipital,T16F2,3.5479140010657722e-09
332,id,1,alpha,Occipital,T18F2,2.710384784583416e-09
333,id,1,alpha,Occipital,T18M1,9.07689551127939e-10
334,id,1,alpha,Occipital,T23F1,2.5393431043172155e-09
335,id,1,alpha,Occipital,T23F2,9.692120040919803e-09
336,id,1,alpha,Occipital,T25F1,7.839730733450442e-09
337,id,1,alpha,Occipital,T9F2,2.6210177735913265e-09
338,id,1,alpha,Occipital,W10F2,1.879512923140345e-08
339,id,1,alpha,Occipital,W17M2,2.628829588656388e-09
340,id,1,alpha,All,F12F2,3.8410395826659824e-09
341,id,1,alpha,All,F12M1,6.868404593102507e-09
342,id,1,alpha,All,F19M1,2.511255967472508e-09
343,id,1,alpha,All,F26F2,4.2350822637682725e-09
344,id,1,alpha,All,F5M1,5.489552053216298e-07
345,id,1,alpha,All,M22F2,6.901949051429618e-09
346,id,1,alpha,All,M8M1,1.3356065594647323e-09
347,id,1,alpha,All,M8M2,5.803876586311017e-09
348,id,1,alpha,All,S20M1,2.7952284641354897e-09
349,id,1,alpha,All,S21F1,2.554619523079363e-09
350,id,1,alpha,All,T11F1,5.009498173900407e-09
351,id,1,alpha,All,T16F2,4.471961473029606e-09
352,id,1,alpha,All,T18F2,3.326463892313327e-09
353,id,1,alpha,All,T18M1,1.5424369260287345e-09
354,id,1,alpha,All,T23F1,2.9137025903584473e-09
355,id,1,alpha,All,T23F2,8.635070241132701e-09
356,id,1,alpha,All,T25F1,1.0013197312688018e-08
357,id,1,alpha,All,T9F2,3.925287630268281e-09
