,Phase,SetSize,FBand,Cluster,Participant,Power
92,id,1,delta,Occipital,T18F2,3.394003998901078e-08
93,id,1,delta,Occipital,T18M1,7.409500157739543e-09
94,id,1,delta,Occipital,T23F1,4.387818216807317e-08
95,id,1,delta,Occipital,T23F2,3.070669462379322e-08
96,id,1,delta,Occipital,T25F1,1.4759646823313124e-08
97,id,1,delta,Occipital,T9F2,3.2435947755621906e-08
98,id,1,delta,Occipital,W10F2,3.0510501922698226e-08
99,id,1,delta,Occipital,W17M2,1.5966520829259806e-08
100,id,1,delta,All,F12F2,4.8045712474907636e-08
101,id,1,delta,All,F12M1,3.936873196489678e-07
102,id,1,delta,All,F19M1,1.1733787358373515e-08
103,id,1,delta,All,F26F2,7.086439034850256e-08
104,id,1,delta,All,F5M1,1.216305528473526e-05
105,id,1,delta,All,M22F2,6.268549664365665e-08
106,id,1,delta,All,M8M1,5.325396111591048e-08
107,id,1,delta,All,M8M2,1.4763485957400506e-07
108,id,1,delta,All,S20M1,3.345220929155589e-08
109,id,1,delta,All,S21F1,4.447846561334162e-08
110,id,1,delta,All,T11F1,3.586103172313156e-08
111,id,1,delta,All,T16F2,2.7130618182820604e-08
112,id,1,delta,All,T18F2,5.744701364163133e-08
113,id,1,delta,All,T18M1,2.5156215259417296e-08
114,id,1,delta,All,T23F1,1.2121807270889748e-07
115,id,1,delta,All,T23F2,8.759394584510165e-08
116,id,1,delta,All,T25F1,8.598137949360695e-08
117,id,1,delta,All,T9F2,1.0988105066636054e-07
118,id,1,delta,All,W10F2,5.839742521778639e-08
119,id,1,delta,All,W17M2,3.064856092810834e-08
120,id,1,theta,Frontal,F12F2,1.2912639517587222e-08
121,id,1,theta,Frontal,F12M1,1.1150554888136976e-07
122,id,1,theta,Frontal,F19M1,4.7765265784904685e-09
123,id,1,theta,Frontal,F26F2,1.6542184309293514e-08
124,id,1,theta,Frontal,F5M1,2.1312858597240386e-06
125,id,1,theta,Frontal,M22F2,3.014302823533741e-08
126,id,1,theta,Frontal,M8M1,1.687716737102882e-08
127,id,1,theta,Frontal,M8M2,5.848223908921578e-08
128,id,1,theta,Frontal,S20M1,1.4885521604226011e-08
129,id,1,theta,Frontal,S21F1,2.0047145468708812e-08
130,id,1,theta,Frontal,T11F1,1.303699392625732e-08
131,id,1,theta,Frontal,T16F2,1.081493818615159e-08
132,id,1,theta,Frontal,T18F2,1.23725579286173e-08
133,id,1,theta,Frontal,T18M1,1.0565168259657349e-08
134,id,1,theta,Frontal,T23F1,3.0271808844557546e-08
135,id,1,theta,Frontal,T23F2,3.8443707976893844e-08
136,id,1,theta,Frontal,T25F1,5.620456651441724e-08
137,id,1,theta,Frontal,T9F2,7.572222099744284e-08
138,id,1,theta,Frontal,W10F2,3.021213592980234e-08
139,id,1,theta,Frontal,W17M2,1.3612410273676464e-08
140,id,1,theta,Central,F12F2,7.3694788681047255e-09
141,id,1,theta,Central,F12M1,1.7614879038902927e-08
142,id,1,theta,Central,F19M1,4.482773325476354e-09
143,id,1,theta,Central,F26F2,8.803932828908373e-09
144,id,1,theta,Central,F5M1,2.1311046254577857e-06
145,id,1,theta,Central,M22F2,9.130627809079966e-09
146,id,1,theta,Central,M8M1,4.991752820042458e-09
147,id,1,theta,Central,M8M2,1.2901521878858124e-08
148,id,1,theta,Central,S20M1,6.119470633807126e-09
149,id,1,theta,Central,S21F1,8.881664109545302e-09
150,id,1,theta,Central,T11F1,1.0641110632116814e-08
151,id,1,theta,Central,T16F2,9.883704974151544e-09
152,id,1,theta,Central,T18F2,7.423958397372893e-09
153,id,1,theta,Central,T18M1,3.852557094359503e-09
154,id,1,theta,Central,T23F1,9.79122211897802e-09
155,id,1,theta,Central,T23F2,1.4052248771110185e-08
156,id,1,theta,Central,T25F1,1.3745213308250495e-08
157,id,1,theta,Central,T9F2,1.2132643833126935e-08
158,id,1,theta,Central,W10F2,2.4580519752019778e-08
159,id,1,theta,Central,W17M2,9.027038199398578e-09
160,id,1,theta,Temporal,F12F2,3.3381129079905927e-09
161,id,1,theta,Temporal,F12M1,1.377106105182601e-08
162,id,1,theta,Temporal,F19M1,2.3115097399619246e-09
163,id,1,theta,Temporal,F26F2,5.059336073335339e-09
164,id,1,theta,Temporal,F5M1,2.1395997063197903e-06
165,id,1,theta,Temporal,M22F2,5.654413573706429e-09
166,id,1,theta,Temporal,M8M1,2.516985039815575e-09
167,id,1,theta,Temporal,M8M2,8.457569328492189e-09
168,id,1,theta,Temporal,S20M1,3.4649381936193365e-09
169,id,1,theta,Temporal,S21F1,5.164270874684756e-09
170,id,1,theta,Temporal,T11F1,5.641475014512664e-09
171,id,1,theta,Temporal,T16F2,7.392328481245051e-09
172,id,1,theta,Temporal,T18F2,5.074153028816551e-09
173,id,1,theta,Temporal,T18M1,3.0882238193862584e-09
174,id,1,theta,Temporal,T23F1,6.882199854861582e-09
175,id,1,theta,Temporal,T23F2,5.793242242770647e-09
176,id,1,theta,Temporal,T25F1,8.938139260257371e-09
177,id,1,theta,Temporal,T9F2,7.398137498273539e-09
178,id,1,theta,Temporal,W10F2,1.3411861188751914e-08
179,id,1,theta,Temporal,W17M2,4.595482462904049e-09
180,id,1,theta,Parietal,F12F2,5.486985034351012e-09
181,id,1,theta,Parietal,F12M1,7.074925353569613e-09
182,id,1,theta,Parietal,F19M1,3.5775492743719082e-09
183,id,1,theta,Parietal,F26F2,7.1691092465796955e-09
184,id,1,theta,Parietal,F5M1,2.1305076898769383e-06
185,id,1,theta,Parietal,M22F2,6.440756040965103e-09
186,id,1,theta,Parietal,M8M1,2.9744591058022268e-09
187,id,1,theta,Parietal,M8M2,7.2546003969020625e-09
188,id,1,theta,Parietal,S20M1,3.678945421632731e-09
189,id,1,theta,Parietal,S21F1,6.4268760124405834e-09
190,id,1,theta,Parietal,T11F1,7.607808517487938e-09
191,id,1,theta,Parietal,T16F2,8.205523895326924e-09
192,id,1,theta,Parietal,T18F2,5.8459064048227e-09
193,id,1,theta,Parietal,T18M1,2.4988325661761775e-09
194,id,1,theta,Parietal,T23F1,6.2956765653633406e-09
195,id,1,theta,Parietal,T23F2,1.0187592977071339e-08
196,id,1,theta,Parietal,T25F1,6.679716315431414e-09
197,id,1,theta,Parietal,T9F2,6.771267883762181e-09
198,id,1,theta,Parietal,W10F2,2.090274987415858e-08
199,id,1,theta,Parietal,W17M2,6.32114924660776e-09
200,id,1,theta,Occipital,F12F2,5.363151707472396e-09
201,id,1,theta,Occipital,F12M1,4.379464954423938e-09
